### toef_RL_ST ###;;;;;;;;
id;type;sndfn1_1;sndfn2_1;sndfn3_1;sndfn1_2;sndfn2_2;sndfn3_2;expected_answer
1;focus_knownX;rak.wav;X_rogges.wav;toef.wav;sot.wav;X_rogges.wav;toef.wav;2
2;focus_knownX;rak.wav;X_kasi.wav;toef.wav;sot.wav;X_kasi.wav;toef.wav;2
3;focus_knownX;sot.wav;X_poemer.wav;toef.wav;rak.wav;X_poemer.wav;toef.wav;1
4;focus_knownX;sot.wav;X_fidan.wav;toef.wav;rak.wav;X_poemer.wav;toef.wav;1
5;nonfocus_knownX;sot.wav;X_rogges.wav;lut.wav;rak.wav;X_rogges.wav;lut.wav;2
6;nonfocus_knownX;sot.wav;X_kasi.wav;lut.wav;rak.wav;X_kasi.wav;lut.wav;2
7;nonfocus_knownX;rak.wav;X_poemer.wav;lut.wav;sot.wav;X_poemer.wav;lut.wav;1
8;nonfocus_knownX;rak.wav;X_fidan.wav;lut.wav;sot.wav;X_fidan.wav;lut.wav;1
9;focus_newX;rak.wav;X_rajee.wav;toef.wav;sot.wav;X_rajee.wav;toef.wav;2
10;focus_newX;rak.wav;X_loga.wav;toef.wav;sot.wav;X_loga.wav;toef.wav;2
11;focus_newX;sot.wav;X_dieta.wav;toef.wav;rak.wav;X_dieta.wav;toef.wav;1
12;focus_newX;sot.wav;X_nilbo.wav;toef.wav;rak.wav;X_nilbo.wav;toef.wav;1
13;nonfocus_newX;sot.wav;X_rajee.wav;lut.wav;rak.wav;X_rajee.wav;lut.wav;2
14;nonfocus_newX;sot.wav;X_loga.wav;lut.wav;rak.wav;X_loga.wav;lut.wav;2
15;nonfocus_newX;rak.wav;X_dieta.wav;lut.wav;sot.wav;X_dieta.wav;lut.wav;1
16;nonfocus_newX;rak.wav;X_nilbo.wav;lut.wav;sot.wav;X_nilbo.wav;lut.wav;1
